dataset,missingness_type,missing_rate,imputation_method,mean_rmse,mean_nrmse
Telco,MNAR,"missing TotalCharges, 10%",LLM Finetuned (Qwen2.5-7B-Instruct),96.44198030230757,0.04013350650670536
German Credit Card,MAR,"billamt1 -> pay0, 10%",LLM Finetuned (Llama-3.1-8B-Instruct),21657.625000909033,0.28429573878713366
German Credit Card,MCAR,"billamt1, 10%",LLM Finetuned (Llama-3.1-8B-Instruct),18309.916687995425,0.264746984989245
German Credit Card,MNAR,"billamt1, 10%",LLM Finetuned (Llama-3.1-8B-Instruct),30659.87908165436,0.34484820342251804
German Statlog,MAR,"X2, 10%",LLM Finetuned (Llama-3.1-8B-Instruct),10.570241246064349,0.8838429970296233
German Statlog,MCAR,"X2, 10%",LLM Finetuned (Llama-3.1-8B-Instruct),10.080674580602233,0.7792033066987295
German Statlog,MNAR,"X2, 10%",LLM Finetuned (Llama-3.1-8B-Instruct),10.043903623591776,0.8456525761439685
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Finetuned (Llama-3.1-8B-Instruct),102.58147082665674,0.04400764784810362
Telco,MCAR,"missing TotalCharges, 10%",LLM Finetuned (Llama-3.1-8B-Instruct),111.1010450871648,0.05091097791850302
Telco,MNAR,"missing TotalCharges, 10%",LLM Finetuned (Llama-3.1-8B-Instruct),128.2698782607752,0.05337841443794939
German Credit Card,MAR,"billamt1 -> pay0, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),22600.020799732316,0.29666639853607246
German Credit Card,MCAR,"billamt1, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),17395.13597730699,0.2515199758658301
German Credit Card,MNAR,"billamt1, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),25945.58798163315,0.29182402769359805
German Statlog,MAR,"X2, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),10.547511554864494,0.8819424275039166
German Statlog,MCAR,"X2, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),9.876234100101112,0.7634007235327094
German Statlog,MNAR,"X2, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),11.22853507809456,0.9453933421672897
Telco,MAR,"missing totalCharges -> tenure, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),249.64676110813505,0.1070989396109492
Telco,MCAR,"missing TotalCharges, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),79.71313188481784,0.03652777067955341
Telco,MNAR,"missing TotalCharges, 10%",LLM Finetuned (Mistral-7B-Instruct-v0.3),97.4602802617209,0.040557263338727965
