ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
33,100000,1,1,2,,,0,,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,,0
34,500000,2,2,,,-2,,-2,,,-2,10929,4152,22722,7521,,8981,4152,22827,7521,71439,981,51582,0
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,,,31130,,0,5293,5006,31178,3180,0,5293,,0
36,,1,1,2,30,,,-2,-2,,-1,30265,-131,-527,-923,,-1884,131,396,396,,792,0,0
37,280000,1,2,1,40,0,0,0,0,0,0,186503,,180422,170410,173901,,8026,8060,6300,,6400,6737,0
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,,6026,-28335,18660,,1518,2043,,47671,617,0
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,,0,0,0,780,0,,0,0,0,1
40,280000,1,1,2,31,,-1,2,-1,0,,498,9075,4641,9976,17976,9477,9075,0,,,9525,781,0
41,,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,,7000,,188840,28000,4000,0
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,,,2800,2500,0
43,10000,1,2,2,22,,,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,,500,0
44,140000,2,2,1,37,0,0,0,,0,0,,61544,,64280,67079,69802,3000,3000,3000,4000,4000,3000,0
45,40000,2,1,2,30,0,,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0
46,210000,1,1,2,,,-2,-2,-2,,-2,0,0,0,0,0,,0,,0,0,0,0,1
47,20000,2,1,2,22,0,0,2,-1,0,,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1
48,150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,,0,0,0,1
49,,1,,2,32,-1,-1,-1,-1,-1,-1,,,15134,32018,11849,11873,,15138,24677,11851,11875,8251,0
50,20000,1,1,2,24,,0,0,0,0,0,,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0
51,,1,,2,42,,,,2,2,,37042,36171,38355,,38659,39362,0,3100,,0,1500,1500,1
52,100000,2,3,3,43,0,0,0,,,0,61559,51163,43824,39619,,33258,2000,1606,1500,2000,1500,1000,0
53,310000,2,2,1,49,-2,-2,-2,,,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0
54,,,1,2,25,1,2,0,0,0,,41402,41742,42758,43510,44420,,1300,2010,1762,,1790,1622,0
55,150000,,1,2,29,2,0,0,,,,46224,,31434,26518,21042,16540,1600,,1049,1500,2000,5000,0
56,500000,2,1,1,45,-2,-2,-2,-2,,-2,1905,,162,0,151,2530,3640,162,0,151,2530,0,0
57,180000,2,3,1,34,0,0,0,,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,,9000,2000,0
58,180000,2,,,34,0,,0,0,0,0,,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0
59,200000,2,1,2,34,-1,,2,2,2,2,1587,1098,782,1166,,1414,0,0,700,0,,0,0
60,400000,2,2,1,29,0,,0,0,0,,400134,398857,,360199,356656,364089,17000,,30000,12000,12000,23000,0
61,500000,,3,1,28,,0,0,0,,0,22848,,,14937,13827,15571,1516,1300,1000,1000,,2000,1
62,70000,1,2,1,,0,0,0,0,0,-1,,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0
63,,,1,2,29,2,,2,2,2,2,24987,24300,26591,25865,,28264,,2700,0,2225,1200,0,1
64,50000,2,2,1,46,0,,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1
65,,2,2,1,51,-1,-1,-2,-2,,-1,99,0,,0,2353,0,0,,0,2353,0,0,0
66,200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,,7918,0,0,8222,300,,1000,1
67,10000,1,2,1,56,2,2,2,0,0,,2097,4193,,4062,4196,,2300,0,150,200,200,160,1
68,210000,2,1,2,30,2,-1,-1,-1,,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0
69,130000,2,,,29,1,-2,-2,-1,2,,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0
70,20000,1,5,2,,2,0,0,0,0,0,18565,17204,17285,,11205,5982,0,1200,1000,500,1000,0,0
71,80000,1,1,2,31,-1,,-1,-1,,-1,780,0,,390,390,390,0,390,390,390,390,390,0
72,320000,1,2,2,29,2,2,2,,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,,2400,1600,1
73,200000,2,2,,32,-1,-1,-1,-1,2,-1,9076,,-684,5247,3848,3151,,15,9102,17,3165,1395,0
74,290000,2,1,2,37,,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0
75,340000,1,1,2,,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,,4314,80552,25949,2016,0
76,,1,2,,24,0,,2,0,0,0,14619,17216,16642,16976,17332,18543,,0,610,630,1500,0,0
77,50000,1,3,2,25,-1,0,0,,0,0,42838,37225,36087,9636,,,,1779,,,1000,1000,0
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,,291,291,291,291,0
79,30000,2,2,2,22,0,0,0,,0,0,28387,,30326,28004,,6411,1686,1400,560,3000,1765,0,1
80,240000,2,2,2,44,1,-2,-2,,-2,-2,0,0,0,0,0,0,0,,,0,0,0,1
81,,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0
83,,1,3,2,30,0,0,,0,0,0,26324,,,21993,,19771,1576,1213,648,768,,0,1
84,400000,,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,,10700,3,,3000,3200,2800,0
85,50000,2,3,,49,0,0,,0,0,0,48909,47863,21489,20414,19342,,1676,1302,,699,849,826,0
86,160000,1,,2,33,0,0,0,0,0,,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0
87,360000,2,1,1,45,-1,-1,2,0,-1,-1,390,,780,390,,390,1170,0,0,390,390,390,1
88,160000,2,2,,32,0,,0,0,,-1,,4751,6604,8604,7072,,1147,2000,2000,,,2303,0
89,130000,2,1,1,35,0,,0,-1,-1,,81313,117866,,1330,7095,1190,40000,5000,1330,7095,,2090,0
90,20000,,3,2,,2,2,0,0,0,2,,,9651,10488,12314,,0,1651,1000,2000,0,1500,0
91,200000,1,1,1,53,2,2,2,2,,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1
92,280000,2,1,,39,,-1,-1,,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,,0,0
93,100000,,,2,27,,-2,-2,-2,-2,-2,-2000,,,0,0,0,7555,0,0,0,0,0,0
94,160000,2,2,1,37,-1,-1,,-1,-1,,880,,840,840,0,0,,840,840,,0,7736,0
95,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,,835,0
96,90000,1,2,2,35,,0,0,,0,0,,85996,87653,35565,,30835,3621,3597,1179,1112,1104,1143,0
97,360000,,1,1,43,-1,-1,,,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,,,0,68978,0
98,150000,,1,2,27,,0,0,0,0,,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0
99,50000,2,3,1,,0,0,0,0,,0,,18160,16997,13150,8866,7899,1411,1194,379,281,,197,0
100,20000,1,2,1,38,0,0,0,,0,-1,17973,19367,19559,18240,17928,150,1699,,626,,,0,1
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,,10212,850,415,100,1430,10212,850,415,,,0,0
102,,2,1,2,30,-2,-2,-1,0,0,,-81,-303,32475,32891,33564,,223,,1171,1197,1250,,0
103,480000,1,,,,0,0,0,2,2,0,422069,431342,479432,487066,,469961,16078,55693,17000,0,18000,24200,0
104,50000,2,3,2,22,0,,0,0,,0,44698,42254,38347,,,24094,1767,,1002,,995,904,1
105,60000,,2,2,26,2,,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0
106,,2,2,,24,,-1,-2,,-2,-1,,0,0,0,0,26529,0,0,0,0,26529,2000,0
107,80000,2,2,1,36,-1,-1,-1,,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,,1150,1150,1035,0
108,350000,,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,,,5263,2272,722,867,1150,,5011,0
109,130000,1,2,2,,0,0,0,,-1,-1,171438,178382,39940,120483,44127,,10908,0,133657,4566,,4796,0
110,360000,1,2,1,35,,,-2,-2,,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0
111,330000,2,1,,31,0,0,2,,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0
112,50000,1,3,,47,0,,2,0,0,0,13244,14722,,,16671,17393,,1000,1000,1000,1000,1000,0
113,280000,1,,1,,2,,2,,2,3,135673,138532,134813,144401,152174,149415,,0,14254,,0,5000,0
114,100000,2,1,2,24,,,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0
115,50000,1,2,2,41,0,0,0,,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0
116,30000,1,1,2,24,-1,2,0,0,3,2,18199,17618,,21319,20692,21201,0,1312,3000,0,1000,,1
117,240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,0
118,80000,1,2,2,26,2,,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,,1
119,400000,1,2,1,,-1,-1,-1,-1,-1,-1,19660,9666,,7839,14837,,9677,11867,7839,14837,7959,5712,0
120,240000,2,2,,38,0,0,0,0,-1,-1,50254,,53015,52479,1307,,2000,3000,3000,1307,1203,563,0
121,50000,1,,2,,2,2,2,3,2,2,46004,45976,,48851,49318,51143,1000,4035,,,,0,1
122,450000,1,1,1,40,1,-2,-2,,-2,-2,0,0,0,0,0,0,0,0,,0,,0,1
123,110000,2,1,1,,1,-2,,,-2,-2,0,0,0,0,0,,0,0,0,0,0,0,0
124,310000,2,2,1,35,2,0,0,0,0,,304991,311243,306314,258610,246491,198889,13019,,8407,8599,6833,5987,1
125,20000,1,1,2,27,0,0,0,0,0,0,,18962,,19378,19717,15630,,1130,600,,313,,0
126,20000,1,2,2,,1,,-2,-2,-2,-2,,0,,,,0,0,0,0,,0,0,0
127,200000,1,3,2,,0,0,0,0,,0,110151,99530,,100914,103146,104993,3568,3585,3602,,3669,3784,0
128,,1,1,,36,0,0,0,0,0,0,163736,116422,99278,95766,97753,,4655,,2067,2142,2217,1000,1
129,50000,1,2,1,51,0,0,0,,0,0,3347,3899,,5347,6375,7077,1000,,1300,1500,1200,134,1
130,60000,1,3,1,55,,2,2,0,0,0,60521,61450,57244,28853,,26547,,7,,1200,1100,1500,0
131,30000,2,1,2,23,1,-2,-2,-2,,-1,4000,5645,3508,,13744,5906,,,27,13771,5911,3024,0
132,240000,1,1,2,,1,-1,-1,0,0,-1,95,,3301,3164,360,1737,2622,,0,360,1737,924,0
133,420000,,2,1,34,0,0,0,0,0,0,253454,247743,229049,220951,,188108,9744,9553,7603,7830,7253,11326,0
134,330000,1,3,1,46,0,0,0,0,0,0,,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,,0
135,30000,2,2,2,22,0,0,0,0,0,0,28452,26145,,,17603,-780,2000,1400,0,500,0,1560,0
136,240000,1,2,1,34,0,0,0,2,2,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,,0
137,150000,1,1,2,,,0,0,0,,0,17444,19342,22000,24614,,30229,2500,3000,3000,3000,3500,,0
138,210000,2,,1,33,,,0,0,0,0,,7997,8792,9189,,5708,,1500,1000,500,2000,546,0
139,50000,,3,1,,-1,-1,-1,-1,-2,,,300,5880,,0,0,,5880,0,0,0,0,1
140,,1,1,2,24,0,0,0,0,,,,,49586,19430,19375,18995,,1700,1000,,870,2130,0
141,240000,1,1,2,,1,-2,-2,-2,-2,-2,,0,,0,,0,0,0,0,0,0,0,1
142,180000,,2,2,28,-1,-1,-1,-1,-1,-1,,0,,332,416,,,416,,500,3500,832,0
143,50000,1,2,,23,1,2,2,2,0,0,10131,10833,,19996,,18065,,10000,400,700,800,,0
144,170000,1,2,2,29,-2,-2,-2,-2,-2,,12159,10000,10000,10000,9983,,,,10000,,15863,10000,0
145,20000,1,1,,29,,,-1,,0,-1,1199,15586,344,2340,6702,339,15586,344,2340,,339,330,0
146,50000,1,1,2,28,0,0,0,,0,3,4999,5913,7315,9195,,,,1500,2000,1583,1100,0,0
147,170000,2,2,2,27,0,0,0,0,0,,19269,20313,,17560,17918,9100,1661,,351,358,182,0,1
148,200000,1,1,2,34,1,2,0,0,,0,197236,,93069,135668,,,8000,5000,,5000,5000,8500,0
149,80000,2,2,1,23,,2,,2,,0,9168,10522,10205,,10123,12034,1650,0,0,379,2091,,0
150,260000,2,1,1,60,1,-2,,-1,-1,-1,,-1100,21400,0,,869,0,22500,0,969,1000,0,0
151,140000,1,,,32,0,0,0,,2,0,86627,,68336,64648,58319,55251,3455,3110,5000,0,2100,2602,0
152,80000,1,1,2,25,0,0,0,0,0,0,42444,55744,43476,41087,41951,31826,30000,,6000,8000,,14000,0
153,350000,1,1,2,41,1,,-1,-1,-1,-2,208,2906,1000,630,0,0,2906,1000,630,0,0,0,0
154,280000,2,2,,56,0,0,,0,0,0,,,132257,101783,177145,169311,8042,6700,5137,100000,7000,6321,0
155,30000,2,3,2,26,0,,0,0,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,0
156,140000,1,1,1,34,0,,0,0,0,0,23944,28049,32073,,47086,48699,5000,5000,11885,5000,3000,5504,0
157,200000,2,1,2,37,,,0,0,0,0,105420,102870,,90938,92505,94031,,,3250,3500,3560,5000,0
158,200000,2,3,2,30,0,0,0,0,0,0,196031,196143,189524,167163,146975,122324,7300,7108,,6200,5000,4500,0
159,210000,,3,1,45,2,3,,4,5,,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,,10478,1
160,50000,1,,1,57,3,2,0,0,0,,12854,12362,13447,13427,13711,14083,0,1600,500,500,600,,0
161,30000,1,1,2,41,,2,2,2,2,,24357,,26718,28168,27579,28321,,,2200,0,1200,1250,0
162,50000,,2,2,27,2,-1,-1,-1,-1,2,390,390,780,216,1080,540,390,780,216,864,0,390,0
163,290000,1,3,1,47,-1,-1,-1,-1,0,-1,1234,396,396,792,396,423,396,,792,0,423,369,0
164,250000,,1,1,34,0,0,2,0,0,0,141223,156858,,152803,,160220,17994,0,5469,5656,6811,3920,0
165,60000,2,2,1,46,,0,0,,0,0,21148,23803,24908,26034,,27756,3000,1500,1500,,1500,1500,0
166,110000,2,1,2,27,,0,0,0,,0,101640,104795,104855,74737,76058,,5500,,3000,2900,3000,2800,0
167,370000,1,1,2,50,,-2,-2,-2,-2,-2,6093,15130,8204,15398,4792,13453,15383,8204,,4792,13453,4699,0
168,100000,1,2,1,27,-1,2,2,0,0,0,102349,96847,58824,29336,22979,-246,3166,,1330,,12,50000,0
169,90000,2,2,1,35,0,0,0,,,2,72112,,75526,,85852,88290,3500,3500,3652,10000,,0,0
170,50000,2,2,,22,0,0,0,0,0,0,,29092,,27737,28318,28806,1510,1442,982,1017,1277,567,0
171,270000,1,2,2,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641,5000,,3000,4000,3000,2000,0
172,,2,1,2,30,-1,,,-1,-1,-1,688,3280,0,,2672,800,3288,0,4340,2672,,746,0
173,50000,2,,2,22,,0,0,0,,0,8567,15273,,7457,,7725,15000,,149,,,10000,0
174,50000,,1,2,24,1,,-2,-2,-2,-2,-709,-709,,-2898,-3272,,,0,0,0,0,0,1
175,360000,1,1,2,29,1,-2,-1,-1,-2,-2,,0,77,0,0,,0,77,0,0,0,0,0
176,130000,1,3,1,56,1,2,2,2,,3,64617,65978,67282,68557,72796,71345,,3000,3000,5500,0,0,1
177,80000,1,1,2,30,-2,-1,0,0,0,0,6187,100,600,1438,1919,,504,500,1000,500,3500,0,0
178,50000,1,2,,30,1,2,0,0,0,2,48860,47801,48363,30221,22877,22361,,1500,,2000,0,2000,0
179,20000,2,2,2,22,0,0,0,0,0,0,,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,1000,0
180,80000,2,2,1,29,0,0,2,0,0,0,77883,81811,80250,61467,10662,11486,5800,,600,400,1000,0,0
181,240000,1,,2,37,-1,,2,0,0,-1,12212,26578,25331,26605,,1256,,0,2000,0,1256,65935,0
182,80000,2,3,,35,0,-1,0,0,0,0,49608,12412,14873,17364,17770,17460,12500,,3000,2000,3000,2000,0
183,,,,1,,0,0,0,0,0,,56422,110616,,122967,108834,,70010,30357,30000,20000,,20000,0
184,60000,2,2,1,,0,0,0,,0,0,58024,,48839,18971,19323,19395,2500,1600,3000,1000,737,,1
185,20000,1,,2,25,0,0,0,0,0,-1,10642,11677,13070,12280,,1620,1200,1593,,135,1824,0,0
186,,,2,1,38,1,2,0,0,2,0,14483,13961,15323,16268,15868,16448,0,1600,1500,,1000,1500,1
187,360000,2,,2,32,,-1,-1,-1,-1,-1,2616,,,,13881,16240,57087,5295,68454,13889,16250,38313,0
188,200000,2,3,,,2,2,2,2,2,2,199436,202947,,196186,200162,189915,8214,7000,6800,7134,0,,1
189,130000,2,,1,34,1,,0,,0,0,,,,13576,13864,,,5000,3500,501,1000,2000,0
190,20000,2,2,2,,1,,4,4,3,2,21703,21087,21461,20835,20219,20487,0,,0,0,,0,0
191,310000,,1,2,32,0,0,0,0,,0,59901,62147,62102,65875,60387,43328,10020,6031,10057,5028,5060,4223,0
192,60000,2,1,2,27,2,0,0,0,,0,19625,20347,21669,23005,22499,22873,1342,,2000,0,900,846,1
193,180000,,,2,29,-1,-1,-1,-2,-1,0,,199,,0,17227,17042,199,0,0,17227,341,5114,0
194,180000,,1,2,24,,-1,2,0,0,,14670,22087,21282,10200,0,0,,0,,0,0,0,0
195,50000,1,2,1,36,0,0,0,0,-1,-1,,18114,18250,-14,72,658,2000,1000,2000,500,1000,20011,0
196,50000,2,,2,24,1,2,2,,2,2,36166,37188,37680,38462,,40035,1900,1400,,1532,1600,0,1
197,150000,2,2,1,34,,,-2,-2,-2,-2,0,,0,116,0,1500,0,0,116,0,1500,0,0
198,20000,2,1,2,,0,0,,0,,,18553,19446,19065,8332,18868,19247,1500,1032,,20000,,1000,0
199,500000,2,1,1,,-2,-2,-2,-1,-1,-1,412,138,,1251,1206,1151,138,2299,1251,1206,1151,15816,0
200,,2,,2,22,1,2,2,0,0,0,29010,29256,28122,29836,1630,0,1000,85,1714,104,0,0,1
201,180000,2,1,1,38,-2,-2,-2,,-2,-2,750,0,0,0,0,,0,0,0,0,0,0,0
202,140000,,1,2,31,0,0,2,0,0,2,27123,,17985,20225,27407,10833,25000,,3000,,0,2500,0
203,140000,2,1,2,26,-1,,,-1,-1,-1,,18000,13001,5818,13506,487,,13001,5841,13506,487,7004,0
204,120000,1,2,,26,0,,,,,0,107314,,113736,116000,119131,122135,5000,5000,4152,5000,5000,5000,0
205,360000,2,2,1,48,0,0,0,0,0,0,226430,,234192,,173557,146511,9100,7300,5800,5600,5600,4100,0
206,20000,1,3,1,,-1,-1,0,0,,0,227,20351,20237,19339,19450,19337,22359,1305,1258,1459,3457,,0
207,,1,1,1,47,-1,,,-1,-1,-1,,1473,390,390,390,0,1473,390,390,,0,2380,0
208,210000,2,2,1,41,-1,-1,-1,-1,-1,-1,,1586,,,877,,1586,343,3763,877,0,419,1
209,80000,2,2,2,,0,0,,0,0,0,81625,81554,79599,49552,49509,49568,3200,,2038,2000,1800,1800,1
210,330000,2,1,1,50,-1,-1,-1,,-2,-2,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,0
211,220000,1,1,2,24,0,,,,-1,-1,105607,108917,111520,8303,0,,5000,,8303,0,85632,0,0
212,,,1,1,38,,-2,-1,0,-1,-1,0,,250,123,789,1222,0,250,0,789,1222,9616,1
213,40000,2,3,1,,0,0,0,0,0,,38257,38901,38103,36207,33138,31339,1700,1504,1200,1500,1500,1000,0
214,30000,1,2,2,39,0,0,0,,0,0,,28108,18388,12992,7736,8032,3036,2309,0,1000,2000,148,0
215,470000,1,2,2,27,2,2,2,2,0,0,296573,303320,307843,479978,305145,309959,13000,11001,,10484,10838,10367,0
216,30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,390,240,1320,780,390,390,240,,0,0,0
217,,2,2,,36,1,-2,-2,-2,-2,-2,-946,-946,-946,-946,-946,-946,0,0,0,0,,,1
218,80000,1,2,2,36,2,0,0,0,0,0,79278,78501,,80016,76235,78245,3100,3500,3400,3000,3500,3000,0
219,110000,2,3,0,31,0,0,0,0,0,0,89989,84229,79288,73315,,,4000,,3000,3000,3000,8954,0
220,310000,2,1,2,38,-1,-1,-1,-1,-2,-2,1424,4542,126,0,0,,4542,126,0,0,0,,0
221,360000,2,1,,40,2,2,2,0,0,0,105167,115468,112157,114690,117845,120238,,0,5900,5000,4500,4700,1
222,,2,3,2,45,0,0,0,0,0,0,335196,334954,335527,333860,335760,330121,12388,12378,,12450,12213,11678,0
223,300000,2,2,2,35,0,0,0,,0,0,291619,,205629,215827,208464,212508,12019,9006,,12000,9557,15000,0
224,320000,2,2,2,33,0,0,,,0,0,91653,94037,108597,65913,43805,33263,10042,18832,2117,2076,5045,,0
225,50000,2,,,37,1,3,2,0,0,,52626,51537,49205,30394,30249,,0,24,1500,1000,,30592,1
226,,2,,2,28,0,0,,0,,0,,131199,128900,125514,127280,128839,,4860,22500,4820,4877,4962,0
227,350000,1,3,1,44,-1,-1,,,-1,,,2686,1864,569,0,0,2686,1864,,0,,,0
228,20000,,,1,37,,,0,0,0,0,16455,16511,18902,18768,18650,,1609,3000,,676,834,782,0
229,50000,1,2,2,,2,0,,0,0,0,49758,48456,44116,21247,20066,18858,2401,2254,2004,704,,1004,1
230,20000,2,3,2,24,1,2,0,0,0,0,19154,18165,17233,7630,1730,0,0,,500,100,0,3200,0
231,50000,2,1,2,24,0,0,0,0,,0,35084,35796,30937,,10385,1308,2090,2002,1002,238,1011,389,0
232,20000,1,2,,23,1,2,,0,2,,,,16856,16875,13454,10104,0,1200,1000,0,1000,10000,1
233,50000,1,2,1,26,,0,-2,-1,,0,102800,0,0,2624,45567,46557,0,0,2624,45567,1747,2000,0
234,190000,1,,,34,2,0,0,0,2,2,,131383,,142323,140120,150052,5000,5000,10000,0,12118,2769,1
235,60000,2,2,1,,0,0,0,0,0,0,58203,36367,20934,20694,20175,19421,,1298,1000,721,,599,0
236,80000,1,1,2,35,-1,-1,-1,-1,-1,-1,,3977,,1719,1378,19942,3983,,1719,1378,19942,2418,0
237,150000,2,2,2,27,0,0,,0,0,0,127402,,51547,44384,36900,29497,4500,1745,1566,1208,1077,,0
238,210000,2,1,2,31,-2,-2,-2,,-1,,,0,,893,6082,,0,,893,,2293,3299,0
239,240000,,3,1,50,0,,,0,0,0,234205,231669,,207642,210375,214694,10116,9150,8008,8000,8009,7714,1
240,140000,,2,3,41,,0,0,0,0,0,19346,21708,,19068,16409,16383,,2000,2198,1000,,2399,1
241,60000,2,1,2,28,1,2,2,-2,-2,-1,21501,20650,0,0,0,2285,0,0,,0,2285,0,0
